ID,Squares,No_of_rooms,Address,Price,One_Sq
4222,61,2.0,Beograd Opština Savski venac,183888,2723.3487453316557
4223,51,2.0,Beograd Opština Savski venac,147888,2723.3487453316557
4224,51,2.0,Beograd Opština Savski venac,153888,2723.3487453316557
4225,58,2.0,Beograd Opština Savski venac,158888,2723.3487453316557
4226,55,2.0,Beograd Opština Savski venac,158888,2723.3487453316557
4228,49,2.0,Beograd Opština Savski venac,145888,2723.3487453316557
4229,87,3.0,Beograd Opština Savski venac,267888,2723.3487453316557
4230,85,3.0,Beograd Opština Savski venac,280888,2723.3487453316557
4231,82,3.0,Beograd Opština Savski venac,242888,2723.3487453316557
4232,70,3.0,Beograd Opština Savski venac,204888,2723.3487453316557
4233,87,3.0,Beograd Opština Savski venac,266888,2723.3487453316557
4234,55,2.0,Beograd Opština Savski venac,169888,2723.3487453316557
4235,55,2.0,Beograd Opština Savski venac,155888,2723.3487453316557
4238,40,1.5,Beograd Opština Novi Beograd,75000,1735.3775474934005
4240,95,3.0,Beograd Opština Palilula,220000,1282.912470736089
4242,124,4.0,Beograd Opština Voždovac,248000,1490.3747385405104
4243,60,2.0,Beograd Opština Savski venac,120000,2723.3487453316557
4244,85,3.5,Beograd Opština Palilula,210000,1282.912470736089
4245,71,2.5,Beograd Opština Voždovac,103196,1490.3747385405104
4246,84,3.5,Beograd Opština Rakovica,85000,991.4218432222813
4247,73,3.0,Beograd Opština Zvezdara,95000,1461.4519261140167
4248,61,2.5,Beograd Opština Voždovac,89088,1490.3747385405104
4249,50,2.0,Beograd Opština Savski venac,146888,2723.3487453316557
4250,90,3.0,Beograd Opština Savski venac,282888,2723.3487453316557
4251,79,3.0,Beograd Opština Savski venac,252888,2723.3487453316557
4253,54,2.0,Beograd Opština Savski venac,150888,2723.3487453316557
4254,89,3.0,Beograd Opština Savski venac,246888,2723.3487453316557
4255,68,3.0,Beograd Opština Savski venac,191888,2723.3487453316557
4256,67,3.0,Beograd Opština Savski venac,207888,2723.3487453316557
4257,79,3.0,Beograd Opština Savski venac,210888,2723.3487453316557
4258,102,3.0,Beograd Opština Savski venac,285888,2723.3487453316557
4259,82,3.0,Beograd Opština Savski venac,240888,2723.3487453316557
4260,56,2.0,Beograd Opština Savski venac,196888,2723.3487453316557
4262,88,3.0,Beograd Opština Savski venac,236888,2723.3487453316557
4264,78,3.0,Beograd Opština Čukarica,90000,1324.4002797487278
4265,67,2.0,Beograd Opština Novi Beograd,99000,1735.3775474934005
4266,84,3.0,Beograd Opština Voždovac,129900,1490.3747385405104
4267,92,3.5,Beograd Opština Vračar,229000,2275.3672683163954
4268,87,3.0,Beograd Opština Savski venac,254888,2723.3487453316557
4271,51,2.0,Beograd Opština Savski venac,169888,2723.3487453316557
4272,93,3.0,Beograd Opština Savski venac,254888,2723.3487453316557
4273,73,3.0,Beograd Opština Vračar,135000,2275.3672683163954
4274,28,1.5,Beograd Opština Palilula,29000,1282.912470736089
4275,40,2.0,Beograd Opština Zvezdara,40000,1461.4519261140167
4276,87,3.0,Beograd Opština Palilula,132000,1282.912470736089
4277,33,1.5,Beograd Opština Zvezdara,51500,1461.4519261140167
4278,52,2.5,Beograd Opština Palilula,52000,1282.912470736089
4279,101,4.0,Beograd Opština Vračar,300000,2275.3672683163954
4280,79.60,4.0,Beograd Opština Zvezdara,105000,1461.4519261140167
4281,74,3.0,Beograd Opština Čukarica,102000,1324.4002797487278
4282,70,2.0,Beograd Opština Novi Beograd,102000,1735.3775474934005
4283,33,2.0,Beograd Opština Savski venac,64900,2723.3487453316557
4284,56,2.0,Beograd Opština Palilula,48000,1282.912470736089
4285,66,3.0,Beograd Opština Voždovac,139000,1490.3747385405104
4286,40,1.5,Beograd Opština Zvezdara,36000,1461.4519261140167
4287,55,2.0,Beograd Opština Čukarica,45800,1324.4002797487278
4288,29,1.0,Beograd Opština Zvezdara,53800,1461.4519261140167
4289,38,1.5,Beograd Opština Zvezdara,40000,1461.4519261140167
4290,144,5+,Beograd Opština Voždovac,235000,1490.3747385405104
4291,102,4.0,Beograd Opština Voždovac,90900,1490.3747385405104
4292,61,3.0,Beograd Opština Voždovac,119900,1490.3747385405104
4293,21,0.5,Beograd Opština Zemun,21600,1230.719435933011
4294,110,4.0,Beograd Opština Zvezdara,97000,1461.4519261140167
4295,88,3.0,Beograd Opština Zemun,76000,1230.719435933011
4296,93,4.0,Beograd Opština Rakovica,90000,991.4218432222813
4297,93,3.0,Beograd Opština Zvezdara,100000,1461.4519261140167
4298,117,4.0,Beograd Opština Novi Beograd,160000,1735.3775474934005
4299,79,3.5,Beograd Opština Novi Beograd,105000,1735.3775474934005
4300,35,2.0,Beograd Opština Palilula,42000,1282.912470736089
4302,78,3.0,Beograd Opština Rakovica,85800,991.4218432222813
4303,78,3.0,Beograd Opština Rakovica,85800,991.4218432222813
4304,30,0.5,Beograd Opština Voždovac,30000,1490.3747385405104
4305,51,2.0,Beograd Opština Savski venac,110000,2723.3487453316557
4306,72,2.5,Beograd Opština Novi Beograd,143000,1735.3775474934005
4307,95,3.0,Beograd Opština Vračar,199500,2275.3672683163954
4308,40,1.0,Beograd Opština Stari grad,95000,2531.903872181951
4309,54,2.5,Beograd Opština Novi Beograd,98000,1735.3775474934005
4310,52,2.0,Beograd Opština Vračar,97000,2275.3672683163954
4311,71,2.5,Beograd Opština Vračar,180000,2275.3672683163954
4312,30,1.0,Beograd Opština Zvezdara,53200,1461.4519261140167
4313,101,4.0,Beograd Opština Vračar,300000,2275.3672683163954
4314,44,1.5,Beograd Opština Zvezdara,79200,1461.4519261140167
4315,58,2.5,Beograd Opština Novi Beograd,109000,1735.3775474934005
4316,80,3.0,Beograd Opština Novi Beograd,160000,1735.3775474934005
4317,44,1.5,Beograd Opština Zvezdara,79200,1461.4519261140167
4318,62,2.5,Beograd Opština Stari grad,123000,2531.903872181951
4319,108,4.0,Beograd Opština Vračar,286000,2275.3672683163954
4321,23.50,0.5,Beograd Opština Vračar,65000,2275.3672683163954
4323,61,2.0,Beograd Opština Savski venac,300000,2723.3487453316557
4325,49,2.0,Beograd Opština Zemun,35000,1230.719435933011
4326,71,2.5,Beograd Opština Vračar,180000,2275.3672683163954
4327,58,2.0,Beograd Opština Savski venac,188000,2723.3487453316557
4328,74,4.0,Beograd Opština Palilula,142000,1282.912470736089
